,uri,first_artist_name,track_name,track_duration_ms,track_popularity,is_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
New Music Friday_68,spotify:track:39V3VQLac3aORyPvSqG3fb,Devon Gabriella,get clean,179381,37,False,0.581,0.259,9,-13.948,0,0.227,0.58,0,0.0902,0.172,119.613,4
New Music Friday_69,spotify:track:3xnwztCYNHAMi1v9OEj1Nq,Mia Wray,Happy,239988,33,True,0.591,0.34,4,-9.789,1,0.0493,0.536,0,0.3,0.311,115.024,4
New Music Friday_70,spotify:track:7lTWrTbrL3BFcc2UZRMSzy,flowerovlove,Love You,176214,39,False,0.633,0.573,2,-7.826,1,0.0392,0.12,4.37e-05,0.0757,0.497,117.003,4
New Music Friday_71,spotify:track:77gaU2zZfncrzF9vxA8fEC,Isaia Huron,Patient (02),91105,33,False,0.6,0.488,11,-7.171,0,0.0745,0.22,0,0.119,0.412,95.278,4
New Music Friday_72,spotify:track:2Ed3C4ZFO2SK8A4mnJSdMQ,G Perico,Action,147155,42,True,0.932,0.551,1,-6.812,1,0.336,0.0355,0,0.173,0.528,99.95,4
New Music Friday_73,spotify:track:6P7Baz3uteblV2zklm39BC,3AM,Emeycé (feat. Danny Ocean),176222,55,True,0.707,0.611,7,-5.798,1,0.0424,0.395,3.18e-06,0.11,0.416,93.004,4
New Music Friday_74,spotify:track:4chRIgxhQTCpVkSY0a7nDX,ERNEST,This Fire,182000,50,False,0.326,0.772,0,-5.216,1,0.0318,0.00305,8.44e-06,0.208,0.38,85.754,4
New Music Friday_75,spotify:track:7pl6uuLAW8W0y5qmrpn2P4,Oscar Maydon,Una Mentirosa,182380,52,False,0.631,0.475,2,-4.683,1,0.0378,0.326,0,0.208,0.525,81.938,3
New Music Friday_76,spotify:track:6hgTMdO3CyXlNQJ1K58ruH,BigXthaPlug,Levels,157377,43,True,0.801,0.555,5,-7.47,1,0.241,0.114,0,0.561,0.49,121.935,4
New Music Friday_77,spotify:track:5ht9obvnnWeW4eoRtPAoQD,Ghostluvme,Fact (feat. Lil Uzi Vert),174239,68,True,0.779,0.684,8,-4.963,1,0.108,0.181,0,0.0691,0.526,124.034,4
New Music Friday_78,spotify:track:36O9g4F0Zg9BviD6Hd2H2q,Masego,Two Sides,126625,50,False,0.649,0.446,1,-9.263,1,0.19,0.498,1.66e-05,0.118,0.511,159.91,4
New Music Friday_79,spotify:track:4eOydYjbFRCfFZ8jxtwrQX,Eddie Benjamin,All for Nothing,203765,41,False,0.552,0.644,7,-7.447,0,0.0351,0.0354,3.49e-06,0.0994,0.548,81.031,4
New Music Friday_80,spotify:track:0uoOJJYcnnLAFWajwNNAbL,Franklin Jonas,Cocaine,225733,41,False,0.274,0.625,0,-7.042,1,0.12,0.24,0.172,0.407,0.453,75.03,4
New Music Friday_81,spotify:track:0QTBPKcT0vvXRRNFTznWy6,Barrie,Races,133493,38,False,0.669,0.458,2,-9.009,1,0.0263,0.654,0.84,0.118,0.763,133.024,3
New Music Friday_82,spotify:track:29Ps05CZfLWtphvEknN0bO,Jill Barber,Helium,229848,33,False,0.597,0.495,0,-7.949,1,0.0248,0.714,0.125,0.112,0.496,143.822,4
New Music Friday_83,spotify:track:5nrzA4GIsgS1wdwY3q7cnt,RINI,My Luv (feat. Bibi Bourelly),152238,44,False,0.45,0.372,7,-7.14,1,0.0359,0.27,0.00016,0.134,0.189,138.608,4
New Music Friday_84,spotify:track:2TrFQYku0STJn94gRMhlNZ,Roy Woods,Don't Love Me,203292,46,True,0.544,0.533,4,-6.074,0,0.147,0.262,0,0.102,0.231,169.732,4
New Music Friday_85,spotify:track:2iqsWOyAgyR7oELyZYEgz9,Ari Abdul,Bored,167294,46,False,0.695,0.622,10,-5.6,1,0.0364,0.0301,2.69e-05,0.112,0.83,120.009,4
New Music Friday_86,spotify:track:4baCFMTnuJ3dZByzDqH5Vb,LANNDS,Bonfire,240545,35,False,0.648,0.532,1,-13.273,0,0.0493,0.0517,0.877,0.11,0.372,109.95,4
New Music Friday_87,spotify:track:28C8KsOvTwTSrsAN9rcm96,Flume,Counting Sheep (V2) [2018 Export Wav] feat. Injury Reserve,146233,54,True,0.546,0.942,11,-6.761,0,0.856,0.37,0,0.376,0.405,93.936,4
New Music Friday_88,spotify:track:1fajhwklF3pSlWvdaaSWG3,Rebecca Black,Performer,194344,42,False,0.687,0.439,7,-8.297,0,0.0304,0.111,1.61e-05,0.124,0.422,119.991,3
New Music Friday_89,spotify:track:6iYurd8rUYCoQTAi1V9XUn,YEИDRY,Herrera,157268,43,False,0.837,0.459,4,-8.217,0,0.0488,0.617,0.00096,0.12,0.589,129.992,4
New Music Friday_90,spotify:track:5sFnfo4RB4c9jMojpp6eH5,Mnelia,White Lies (feat. Kwengface),188188,39,False,0.679,0.699,7,-6.383,0,0.23,0.305,0,0.13,0.463,147.031,4
New Music Friday_91,spotify:track:2nLjAYDLBip0W3HbCOiS7Z,Eric Bellinger,Sum 2 See,168000,38,True,0.652,0.464,4,-6.65,0,0.299,0.116,0,0.121,0.502,79.703,4
New Music Friday_92,spotify:track:5xKXBeEv4mJKG9vDw1Zkc8,Nasty C,Blackout,137806,41,True,0.863,0.308,11,-16.129,1,0.176,0.00173,0.00311,0.112,0.614,154.975,4
New Music Friday_93,spotify:track:3vl8JYvFMneZNXSGvMjrZI,Harry Romero,Inside My Mind,209763,34,False,0.722,0.929,9,-7.789,1,0.0614,0.00318,0.512,0.0612,0.315,127.005,4
New Music Friday_94,spotify:track:3UlUWPeAP2SBSKzgdKBcFd,Maeta,S(EX),225406,36,True,0.584,0.395,4,-6.631,0,0.0889,0.0751,1.1e-05,0.109,0.0508,119.087,4
New Music Friday_95,spotify:track:6P1X3qgDqlkjf8XmJS9Xiw,Yaya Bey,exodus the north star,205354,42,True,0.6,0.323,0,-10.311,0,0.107,0.335,0,0.0902,0.237,75.858,4
New Music Friday_96,spotify:track:3PG8Cjr1Bp8zUZ5xnhkLo5,Tennis,Hotel Valet,234066,44,False,0.678,0.571,0,-7.099,1,0.0425,0.158,0.00189,0.0678,0.601,76.377,4
New Music Friday_97,spotify:track:41soii7TsX2M2AIAAOsNh5,Rowena Fysx,I Love Being Invisible,181227,36,False,0.81,0.33,1,-8.867,0,0.135,0.621,0.0343,0.105,0.548,110.15,4
New Music Friday_98,spotify:track:026r3p9a0dt7RWZZU4SZKo,Priscilla Block,Little Bit,199386,42,False,0.465,0.709,2,-3.327,0,0.0348,0.0132,0,0.336,0.515,144.952,4
New Music Friday_99,spotify:track:4BAT0xxJnymne7WzeT0Upq,Savannah Conley,More Than Fine,207940,34,False,0.645,0.551,10,-6.778,0,0.0308,0.0485,0.021,0.102,0.363,146.003,4
